date,product_id,quantity,month,lag_1,lag_2,lag_3,rolling_mean_3,target
2021-02-01 00:00:00+00:00,51,2,2,8.0,8.0,2.0,6.0,2
2021-03-01 00:00:00+00:00,51,10,3,2.0,8.0,8.0,6.0,10
2021-04-01 00:00:00+00:00,51,8,4,10.0,2.0,8.0,6.666666666666667,8
2021-05-01 00:00:00+00:00,51,6,5,8.0,10.0,2.0,6.666666666666667,6
2021-06-01 00:00:00+00:00,51,5,6,6.0,8.0,10.0,8.0,5
2021-07-01 00:00:00+00:00,51,13,7,5.0,6.0,8.0,6.333333333333333,13
2021-08-01 00:00:00+00:00,51,9,8,13.0,5.0,6.0,8.0,9
2021-09-01 00:00:00+00:00,51,2,9,9.0,13.0,5.0,9.0,2
2021-10-01 00:00:00+00:00,51,2,10,2.0,9.0,13.0,8.0,2
2021-11-01 00:00:00+00:00,51,7,11,2.0,2.0,9.0,4.333333333333333,7
2022-01-01 00:00:00+00:00,51,3,1,7.0,2.0,2.0,3.6666666666666665,3
2022-02-01 00:00:00+00:00,51,6,2,3.0,7.0,2.0,4.0,6
2022-03-01 00:00:00+00:00,51,3,3,6.0,3.0,7.0,5.333333333333333,3
2022-04-01 00:00:00+00:00,51,3,4,3.0,6.0,3.0,4.0,3
2022-05-01 00:00:00+00:00,51,5,5,3.0,3.0,6.0,4.0,5
2022-06-01 00:00:00+00:00,51,4,6,5.0,3.0,3.0,3.6666666666666665,4
2022-07-01 00:00:00+00:00,51,7,7,4.0,5.0,3.0,4.0,7
2022-08-01 00:00:00+00:00,51,4,8,7.0,4.0,5.0,5.333333333333333,4
2022-09-01 00:00:00+00:00,51,3,9,4.0,7.0,4.0,5.0,3
2022-10-01 00:00:00+00:00,51,15,10,3.0,4.0,7.0,4.666666666666667,15
2022-11-01 00:00:00+00:00,51,6,11,15.0,3.0,4.0,7.333333333333333,6
2022-12-01 00:00:00+00:00,51,2,12,6.0,15.0,3.0,8.0,2
2023-01-01 00:00:00+00:00,51,9,1,2.0,6.0,15.0,7.666666666666667,9
2023-02-01 00:00:00+00:00,51,2,2,9.0,2.0,6.0,5.666666666666667,2
2023-03-01 00:00:00+00:00,51,3,3,2.0,9.0,2.0,4.333333333333333,3
2023-04-01 00:00:00+00:00,51,5,4,3.0,2.0,9.0,4.666666666666667,5
2023-06-01 00:00:00+00:00,51,5,6,5.0,3.0,2.0,3.3333333333333335,5
2023-07-01 00:00:00+00:00,51,3,7,5.0,5.0,3.0,4.333333333333333,3
2023-08-01 00:00:00+00:00,51,3,8,3.0,5.0,5.0,4.333333333333333,3
2023-09-01 00:00:00+00:00,51,7,9,3.0,3.0,5.0,3.6666666666666665,7
2023-10-01 00:00:00+00:00,51,6,10,7.0,3.0,3.0,4.333333333333333,6
2023-11-01 00:00:00+00:00,51,6,11,6.0,7.0,3.0,5.333333333333333,6
2023-12-01 00:00:00+00:00,51,6,12,6.0,6.0,7.0,6.333333333333333,6
2024-01-01 00:00:00+00:00,51,7,1,6.0,6.0,6.0,6.0,7
2024-02-01 00:00:00+00:00,51,5,2,7.0,6.0,6.0,6.333333333333333,5
2024-03-01 00:00:00+00:00,51,4,3,5.0,7.0,6.0,6.0,4
2024-04-01 00:00:00+00:00,51,4,4,4.0,5.0,7.0,5.333333333333333,4
2024-05-01 00:00:00+00:00,51,5,5,4.0,4.0,5.0,4.333333333333333,5
2024-06-01 00:00:00+00:00,51,8,6,5.0,4.0,4.0,4.333333333333333,8
2024-07-01 00:00:00+00:00,51,3,7,8.0,5.0,4.0,5.666666666666667,3
2024-08-01 00:00:00+00:00,51,1,8,3.0,8.0,5.0,5.333333333333333,1
2024-09-01 00:00:00+00:00,51,1,9,1.0,3.0,8.0,4.0,1
2024-10-01 00:00:00+00:00,51,2,10,1.0,1.0,3.0,1.6666666666666667,2
2024-11-01 00:00:00+00:00,51,8,11,2.0,1.0,1.0,1.3333333333333333,8
2024-12-01 00:00:00+00:00,51,3,12,8.0,2.0,1.0,3.6666666666666665,3
2025-01-01 00:00:00+00:00,51,6,1,3.0,8.0,2.0,4.333333333333333,6
2025-02-01 00:00:00+00:00,51,2,2,6.0,3.0,8.0,5.666666666666667,2
2025-03-01 00:00:00+00:00,51,11,3,2.0,6.0,3.0,3.6666666666666665,11
2025-04-01 00:00:00+00:00,51,6,4,11.0,2.0,6.0,6.333333333333333,6
2025-05-01 00:00:00+00:00,51,2,5,6.0,11.0,2.0,6.333333333333333,2
2025-06-01 00:00:00+00:00,51,9,6,2.0,6.0,11.0,6.333333333333333,9
2025-08-01 00:00:00+00:00,51,6,8,9.0,2.0,6.0,5.666666666666667,6
2025-09-01 00:00:00+00:00,51,5,9,6.0,9.0,2.0,5.666666666666667,5
2025-10-01 00:00:00+00:00,51,2,10,5.0,6.0,9.0,6.666666666666667,2
2025-11-01 00:00:00+00:00,51,6,11,2.0,5.0,6.0,4.333333333333333,6
2021-03-01 00:00:00+00:00,52,5,3,1.0,6.0,3.0,3.3333333333333335,5
2021-04-01 00:00:00+00:00,52,7,4,5.0,1.0,6.0,4.0,7
2021-05-01 00:00:00+00:00,52,9,5,7.0,5.0,1.0,4.333333333333333,9
2021-06-01 00:00:00+00:00,52,5,6,9.0,7.0,5.0,7.0,5
2021-07-01 00:00:00+00:00,52,6,7,5.0,9.0,7.0,7.0,6
2021-08-01 00:00:00+00:00,52,6,8,6.0,5.0,9.0,6.666666666666667,6
2021-09-01 00:00:00+00:00,52,3,9,6.0,6.0,5.0,5.666666666666667,3
2021-10-01 00:00:00+00:00,52,7,10,3.0,6.0,6.0,5.0,7
2021-11-01 00:00:00+00:00,52,8,11,7.0,3.0,6.0,5.333333333333333,8
2021-12-01 00:00:00+00:00,52,9,12,8.0,7.0,3.0,6.0,9
